GeoFips,GeoName,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
1000,Alabama,33963,35101,35992,36258,37384,38954,39525,40864,42328,43996,46479
2000,Alaska *,49654,52581,53729,52843,55910,57629,56341,57352,59871,61742,63502
4000,Arizona,33848,35175,36272,36739,38211,39635,40618,42267,44071,45808,49648
5000,Arkansas,32367,34253,36533,36605,38650,39842,40720,41873,43446,44788,47235
6000,California,43249,45574,48154,48549,51332,54632,56667,58942,61663,64513,70192
8000,Colorado,40785,43635,45586,47339,50706,52222,52251,55125,58267,60848,63776
9000,Connecticut,61762,63229,64300,62900,65844,67761,69215,70797,73929,75794,78609
10000,Delaware,40947,43990,44121,44478,46115,47997,48890,50703,53062,53793,56097
12000,Florida,38865,40482,41475,41069,43388,45493,46253,48774,51150,53034,55675
13000,Georgia,34830,36849,37507,37813,39994,41974,43074,45045,46882,48765,51780
15000,Hawaii *,41606,42976,44121,44378,46658,48566,50089,52222,53534,55464,58655
16000,Idaho,32106,33627,35201,36229,37863,39622,40385,41905,43766,45741,48759
17000,Illinois,42294,44279,46190,47285,49564,51864,52543,54252,57240,59115,62930
18000,Indiana,35699,37822,39477,39829,41274,42778,43780,45278,47292,48980,51926
19000,Iowa,38320,41078,42953,43555,44856,46304,46531,47570,49548,50533,53478
20000,Kansas,39968,43057,45373,46291,47169,47527,47557,49033,51139,53203,56099
21000,Kentucky,33414,34826,35925,36131,37744,39360,39905,40954,42193,43881,47339
22000,Louisiana,38243,39131,41017,41396,43112,43146,42763,44120,46117,47670,50874
23000,Maine,38115,39737,40496,40452,41964,43888,45003,46737,48594,50421,54211
24000,Maryland,49691,51970,53016,52576,54100,56392,58329,60014,61600,62989,66799
25000,Massachusetts,52919,54942,56911,56977,59400,62998,65060,67545,70610,73477,78458
26000,Michigan,35769,37829,39355,39696,41383,43655,44809,45983,47708,49277,53259
27000,Minnesota,42734,45373,47822,47977,50157,52229,52890,54670,56986,58426,62005
28000,Mississippi,31284,32532,33632,34222,34846,35470,35946,36817,37822,39062,42129
29000,Missouri,37118,38536,40322,40576,41973,43334,44424,45393,47250,48945,51697
30000,Montana,36398,38584,40750,40746,42591,44066,44211,46282,48021,50099,53361
31000,Nebraska,41260,45744,46801,46842,49216,50887,49745,50658,52560,54037,57570
32000,Nevada,37487,38740,39840,39565,41637,44314,45232,47279,49424,51419,53720
33000,New Hampshire,47108,49184,51224,51010,52839,54935,56629,58791,61371,63785,67097
34000,New Jersey,51131,53237,55115,55599,58137,60551,62213,64410,67142,69626,73460
35000,New Mexico,33714,35069,35793,35149,37304,38211,38907,39592,41329,43121,46338
36000,New York,48818,51167,53599,54117,56270,58743,60833,64964,67357,69951,74472
37000,North Carolina,35860,36839,38984,38225,40061,41778,42574,44094,45758,47660,50305
38000,North Dakota,44284,49110,56671,55222,57963,54503,52592,53142,56340,58163,61530
39000,Ohio,36862,39287,40837,41373,42984,44641,45452,46999,48778,50201,53641
40000,Oklahoma,37271,39777,42188,43951,46522,44785,42399,44295,46298,48317,49878
41000,Oregon,36036,37596,39370,39787,42133,44693,45998,47982,50535,52462,56312
42000,Pennsylvania,42268,44300,46022,46456,48394,50352,51700,53117,55924,57596,61700
44000,Rhode Island,42805,44403,45978,45990,47937,49625,50320,52341,54158,56616,60825
45000,South Carolina,32838,34406,35852,36005,37878,39698,40744,42296,43711,45455,48021
46000,South Dakota,41417,44726,45384,45525,47374,49040,49018,50145,52346,54725,59281
47000,Tennessee,35856,37751,39418,39519,40841,42648,43637,45134,47203,49009,51046
48000,Texas,39029,42011,44193,44745,47273,47345,46445,49055,51813,53266,55129
49000,Utah,32226,34232,36085,36628,38328,40668,42008,43711,46377,49115,52204
50000,Vermont,41765,44150,45588,46224,48260,49662,50572,51839,53516,55396,59187
51000,Virginia,45519,47638,49366,48654,50428,52379,53439,55181,56978,58738,61958
53000,Washington,42352,44244,47357,47912,50966,53180,55038,57389,60352,63021,67126
54000,West Virginia,32764,34594,35478,35354,36618,37529,37453,39258,41406,42500,44994
55000,Wisconsin,39185,41262,43043,43194,44905,46800,47509,49105,51250,52918,55593
56000,Wyoming,46638,50726,54104,53620,57530,57576,54522,56757,59910,61065,61855
Legend / Footnotes:,,,,,,,,,,,,
2/ Per capita personal income is total personal income divided by total midyear population. BEA state per capita personal income statistics are calculated using Census Bureau midyear population estimates. These annual midyear estimates are based on the 2010 census. BEA will incorporate Census Bureau midyear population estimates based on the 2020 census results when they become available.,,,,,,,,,,,,
* Estimates prior to 1950 are not available for Alaska and Hawaii.,,,,,,,,,,,,
Note. All dollar estimates are in millions of current dollars (not adjusted for inflation). Calculations are performed on unrounded data.,,,,,,,,,,,,
"Last updated: September 23, 2021-- revised statistics for 1998-2020.",,,,,,,,,,,,
